id,a,b,c,d,label,Cluster_indices
0,5.1,3.5,1.4,0.2,1,1
1,4.9,3,1.4,0.2,1,1
2,4.7,3.2,1.3,0.2,1,1
3,4.6,3.1,1.5,0.2,1,1
4,5,3.6,1.4,0.2,1,1
5,5.4,3.9,1.7,0.4,1,1
6,4.6,3.4,1.4,0.3,1,1
7,5,3.4,1.5,0.2,1,1
8,4.4,2.9,1.4,0.2,1,1
9,4.9,3.1,1.5,0.1,1,1
10,5.4,3.7,1.5,0.2,1,1
11,4.8,3.4,1.6,0.2,1,1
12,4.8,3,1.4,0.1,1,1
13,4.3,3,1.1,0.1,1,1
14,5.8,4,1.2,0.2,1,1
15,5.7,4.4,1.5,0.4,1,1
16,5.4,3.9,1.3,0.4,1,1
17,5.1,3.5,1.4,0.3,1,1
18,5.7,3.8,1.7,0.3,1,1
19,5.1,3.8,1.5,0.3,1,1
20,5.4,3.4,1.7,0.2,1,1
21,5.1,3.7,1.5,0.4,1,1
22,4.6,3.6,1,0.2,1,1
23,5.1,3.3,1.7,0.5,1,1
24,4.8,3.4,1.9,0.2,1,1
25,5,3,1.6,0.2,1,1
26,5,3.4,1.6,0.4,1,1
27,5.2,3.5,1.5,0.2,1,1
28,5.2,3.4,1.4,0.2,1,1
29,4.7,3.2,1.6,0.2,1,1
30,4.8,3.1,1.6,0.2,1,1
31,5.4,3.4,1.5,0.4,1,1
32,5.2,4.1,1.5,0.1,1,1
33,5.5,4.2,1.4,0.2,1,1
34,4.9,3.1,1.5,0.1,1,1
35,5,3.2,1.2,0.2,1,1
36,5.5,3.5,1.3,0.2,1,1
37,4.9,3.1,1.5,0.1,1,1
38,4.4,3,1.3,0.2,1,1
39,5.1,3.4,1.5,0.2,1,1
40,5,3.5,1.3,0.3,1,1
41,4.5,2.3,1.3,0.3,1,1
42,4.4,3.2,1.3,0.2,1,1
43,5,3.5,1.6,0.6,1,1
44,5.1,3.8,1.9,0.4,1,1
45,4.8,3,1.4,0.3,1,1
46,5.1,3.8,1.6,0.2,1,1
47,4.6,3.2,1.4,0.2,1,2
48,5.3,3.7,1.5,0.2,1,2
49,5,3.3,1.4,0.2,1,2
50,7,3.2,4.7,1.4,2,2
51,6.4,3.2,4.5,1.5,2,2
52,6.9,3.1,4.9,1.5,2,2
53,5.5,2.3,4,1.3,2,2
54,6.5,2.8,4.6,1.5,2,2
55,5.7,2.8,4.5,1.3,2,2
56,6.3,3.3,4.7,1.6,2,2
57,4.9,2.4,3.3,1,2,2
58,6.6,2.9,4.6,1.3,2,2
59,5.2,2.7,3.9,1.4,2,2
60,5,2,3.5,1,2,2
61,5.9,3,4.2,1.5,2,2
62,6,2.2,4,1,2,2
63,6.1,2.9,4.7,1.4,2,2
64,5.6,2.9,3.6,1.3,2,2
65,6.7,3.1,4.4,1.4,2,2
66,5.6,3,4.5,1.5,2,2
67,5.8,2.7,4.1,1,2,2
68,6.2,2.2,4.5,1.5,2,2
69,5.6,2.5,3.9,1.1,2,2
70,5.9,3.2,4.8,1.8,2,2
71,6.1,2.8,4,1.3,2,2
72,6.3,2.5,4.9,1.5,2,2
73,6.1,2.8,4.7,1.2,2,2
74,6.4,2.9,4.3,1.3,2,2
75,6.6,3,4.4,1.4,2,2
76,6.8,2.8,4.8,1.4,2,2
77,6.7,3,5,1.7,2,2
78,6,2.9,4.5,1.5,2,2
79,5.7,2.6,3.5,1,2,2
