Operator,Change Type,Airflow(1.0),Airflow(2.0),Impact,Replace,Manual Intervention,
GoogleCloudStorageToBigQueryOperator,Changes in import,from airflow.contrib.operators.gcs_to_bq import GoogleCloudStorageToBigQueryOperator,from airflow.providers.google.cloud.transfers.gcs_to_bigquery import GCSToBigQueryOperator,Import Statement Changed,TRUE,FALSE,
GoogleCloudStorageToBigQueryOperator,Changes in Operator,GoogleCloudStorageToBigQueryOperator,GCSToBigQueryOperator,Operator Name Change,TRUE,FALSE,
GoogleCloudStorageToBigQueryOperator,Argument Changes,No Changes,No Changes,None,FALSE,FALSE,
DataflowTemplateOperator,Changes in import,from airflow.contrib.operators.dataflow_operator import DataflowTemplateOperator,from airflow.providers.google.cloud.operators.dataflow import DataflowTemplatedJobStartOperator,Import Statement Changed,TRUE,FALSE,
DataflowTemplateOperator,Changes in Operator,DataflowTemplateOperator,DataflowTemplatedJobStartOperator,Operator Name Change,TRUE,FALSE,
DataflowTemplateOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
DataprocClusterCreateOperator,Changes in import,"from airflow.contrib.operators.dataproc_operator import DataprocClusterCreateOperator","from airflow.providers.google.cloud.operators.dataproc import DataprocCreateClusterOperator",Import Statement Changed,TRUE,FALSE,
DataprocClusterCreateOperator,Changes in Operator,DataprocClusterCreateOperator,DataprocCreateClusterOperator,None,TRUE,FALSE,
DataprocClusterCreateOperator,Argument changes,Region Parameter is Optional,Region Parameter is Required,Region is a required parameter,TRUE,TRUE,
DataprocClusterDeleteOperator,Changes in import,from airflow.contrib.operators.dataproc_operator import DataprocClusterDeleteOperator,from airflow.providers.google.cloud.operators.dataproc import DataprocDeleteClusterOperator,Import Statement Changed,TRUE,FALSE,
DataprocClusterDeleteOperator,Changes in Operator,DataprocClusterDeleteOperator,DataprocDeleteClusterOperator,None,TRUE,FALSE,
DataprocClusterDeleteOperator,Argument Changes,No Changes,No Changes,None,FALSE,FALSE,
BigQueryExecuteQueryOperator,Changes in import,from airflow.contrib.operators.bigquery_operator import BigQueryOperator,from airflow.providers.google.cloud.operators.bigquery import BigQueryExecuteQueryOperator,Import Statement Changed,TRUE,FALSE,
BigQueryExecuteQueryOperator,Changes in Operator,BigQueryOperator,BigQueryExecuteQueryOperator,Operator Name Change,TRUE,FALSE,
BigQueryExecuteQueryOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,BigQueryExecuteQueryOperator
TriggerDagRunOperator,Changes in import,from airflow.operators.dagrun_operator import TriggerDagRunOperator ,from airflow.operators.trigger_dagrun import TriggerDagRunOperator,Import Statement Changed,TRUE,FALSE,
TriggerDagRunOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
TriggerDagRunOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
GCSDeleteObjectsOperator,Changes in import,from airflow.contrib.operators.gcs_delete_operator import GoogleCloudStorageDeleteOperator,from airflow.providers.google.cloud.operators.gcs import GCSDeleteObjectsOperator,Import Statement Changed,TRUE,FALSE,
GCSDeleteObjectsOperator,Changes in Operator,GoogleCloudStorageDeleteOperator,GCSDeleteObjectsOperator,Operator Name Change,TRUE,FALSE,
GCSDeleteObjectsOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
GCSListObjectsOperator,Changes in import,from airflow.contrib.operators.gcs_list_operator import GoogleCloudStorageListOperator,from airflow.providers.google.cloud.operators.gcs import GCSListObjectsOperator,Import Statement Changed,TRUE,FALSE,
GCSListObjectsOperator,Changes in Operator,GoogleCloudStorageListOperator,GCSListObjectsOperator,Operator Name Change,TRUE,TRUE,
GCSListObjectsOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BranchPythonOperator,Changes in import,from airflow.operators.python_operator import BranchPythonOperator,from airflow.operators.python import BranchPythonOperator,Import Statement Changed,TRUE,FALSE,
BranchPythonOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
BranchPythonOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,Cant find the changes mentioned in the optional params
ShortCircuitOperator,Changes in import,from airflow.operators.python_operator import ShortCircuitOperator,from airflow.operators.python import ShortCircuitOperator,Import Statement Changed,TRUE,FALSE,
ShortCircuitOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
ShortCircuitOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
GoogleCloudStorageToBigQueryOperator,Changes in import,from airflow.contrib.operators.gcs_to_bq import GoogleCloudStorageToBigQueryOperator,from airflow.providers.google.cloud.transfers.gcs_to_bigquery import GCSToBigQueryOperator,Import Statement Changed,TRUE,FALSE,
GoogleCloudStorageToBigQueryOperator,Changes in Operator,GoogleCloudStorageToBigQueryOperator,GCSToBigQueryOperator,Operator Name Change,TRUE,FALSE,
GoogleCloudStorageToBigQueryOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BashOperator,Changes in import,from airflow.operators.bash_operator import BashOperator,from airflow.operators.bash import BashOperator,None,FALSE,FALSE,
BashOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
BashOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
PythonOperator,Changes in import,from airflow.operators.python_operator import PythonOperator,from airflow.operators.python import PythonOperator,Import Statement Changed,TRUE,FALSE,
PythonOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
PythonOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BigQueryOperator,Changes in import,"from airflow.contrib.operators.bigquery_operator import BigQueryOperator
",from airflow.providers.google.cloud.operators.bigquery import BigQueryExecuteQueryOperator,Import Statement Changed,TRUE,FALSE,
BigQueryOperator,Changes in Operator,BigQueryOperator,BigQueryExecuteQueryOperator,Operator Name Change,TRUE,FALSE,
BigQueryOperator,Argument Changes,BigQueryOperator(,region='us-central1',Argument Changes,TRUE,FALSE,
DummyOperator,Changes in import,from airflow.operators.dummy_operator import DummyOperator,from airflow.operators.empty import EmptyOperator,None,FALSE,FALSE,
DummyOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
DummyOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BigqueryCheckOperator,Changes in import,from airflow.contrib.operators.bigquery_check_operator import BigQueryCheckOperator,from airflow.providers.google.cloud.operators.bigquery import BigQueryCheckOperator,Import Statement Changed,TRUE,FALSE,
BigqueryCheckOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
BigqueryCheckOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BigQueryValueCheckOperator,Changes in import,from airflow.contrib.operators.bigquery_check_operator import BigQueryValueCheckOperator,from airflow.providers.google.cloud.operators.bigquery import BigQueryValueCheckOperator,Import Statement Changed,TRUE,FALSE,
BigQueryValueCheckOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
BigQueryValueCheckOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BigQueryToCloudStorageOperator,Changes in import,from airflow.contrib.operators.bigquery_to_gcs import BigQueryToCloudStorageOperator,from airflow.providers.google.cloud.transfers.bigquery_to_gcs import BigQueryToGCSOperator,Import Statement Changed,TRUE,FALSE,
BigQueryToCloudStorageOperator,Changes in Operator,BigQueryToCloudStorageOperator,BigQueryToGCSOperator,Operator Name Change,TRUE,FALSE,
