+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                                  DETAILED REPORT                                                                                                                                  |
+-----------------+-----------+-----------------+---------+------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------+
| DAG FILE        | AUTOMATED | CHANGE_TYPE     | LINE_NO | OLD_STATEMENT                                                                                                          | NEW_STATEMENT                                                                                  |
+-----------------+-----------+-----------------+---------+------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------+
| check_imp.py    | Y         | Import_Change   | 38      | from airflow.operators.bash_operator import BashOperator                                                               | from airflow.operators.bash import BashOperator                                                |
| test_arg.py     | Y         | Import_Change   | 2       | from airflow.contrib.operators.bigquery_operator import BigQueryCreateEmptyTableOperator                               | from airflow.providers.google.cloud.operators.bigquery import BigQueryCreateEmptyTableOperator |
| test_arg.py     | Y         | Import_Change   | 4       | from airflow.contrib.operators.bigquery_operator import BigQueryOperator                                               | from airflow.providers.google.cloud.operators.bigquery import BigQueryExecuteQueryOperator     |
| test_arg.py     | Y         | Operator_Change | 24      |     t4 = BigQueryOperator(                                                                                             |     t4 = BigQueryExecuteQueryOperator(                                                         |
| test_arg.py     | Y         | Argument_Change | 24      |     t4 = BigQueryExecuteQueryOperator(                                                                                 |     t4 = BigQueryExecuteQueryOperator(                                                         |
|                 |           |                 |         |                                                                                                                        |         region='us-central1',                                                                  |
| dataproc_op.py  | Y         | Import_Change   | 27      | from airflow.contrib.operators.dataproc_operator import (DataprocClusterCreateOperator, DataprocClusterDeleteOperator) | from airflow.providers.google.cloud.operators.dataproc import DataprocCreateClusterOperator    |
| dataproc_op.py  | Y         | Import_Change   | 27      | from airflow.contrib.operators.dataproc_operator import (DataprocClusterCreateOperator, DataprocClusterDeleteOperator) | from airflow.providers.google.cloud.operators.dataproc import DataprocDeleteClusterOperator    |
| dataproc_op.py  | Y         | Import_Change   | 28      | from airflow.contrib.operators.dataproc_operator import DataprocClusterCreateOperator                                  | from airflow.providers.google.cloud.operators.dataproc import DataprocCreateClusterOperator    |
| dataproc_op.py  | Y         | Operator_Change | 40      |     create_cluster = DataprocClusterCreateOperator(                                                                    |     create_cluster = DataprocCreateClusterOperator(                                            |
| dataproc_op.py  | Y         | Operator_Change | 48      |     delete_cluster = DataprocClusterDeleteOperator(                                                                    |     delete_cluster = DataprocDeleteClusterOperator(                                            |
| bigquery_arg.py | Y         | Import_Change   | 6       | from airflow.contrib.operators.bigquery_operator import BigQueryOperator                                               | from airflow.providers.google.cloud.operators.bigquery import BigQueryExecuteQueryOperator     |
| bigquery_arg.py | Y         | Import_Change   | 7       | from airflow.contrib.operators.bigquery_check_operator import BigQueryCheckOperator                                    | from airflow.providers.google.cloud.operators.bigquery import BigQueryCheckOperator            |
| bigquery_arg.py | Y         | Operator_Change | 79      | t3 = BigQueryOperator(                                                                                                 | t3 = BigQueryExecuteQueryOperator(                                                             |
| bigquery_arg.py | Y         | Argument_Change | 79      | t3 = BigQueryExecuteQueryOperator(                                                                                     | t3 = BigQueryExecuteQueryOperator(                                                             |
|                 |           |                 |         |                                                                                                                        |     region='us-central1',                                                                      |
| bigquery_arg.py | Y         | Operator_Change | 113     | t4 = BigQueryOperator(                                                                                                 | t4 = BigQueryExecuteQueryOperator(                                                             |
| bigquery_arg.py | Y         | Argument_Change | 113     | t4 = BigQueryExecuteQueryOperator(                                                                                     | t4 = BigQueryExecuteQueryOperator(                                                             |
|                 |           |                 |         |                                                                                                                        |     region='us-central1',                                                                      |
| bigquery_arg.py | Y         | Operator_Change | 158     | t5 = BigQueryOperator(                                                                                                 | t5 = BigQueryExecuteQueryOperator(                                                             |
| bigquery_arg.py | Y         | Argument_Change | 158     | t5 = BigQueryExecuteQueryOperator(                                                                                     | t5 = BigQueryExecuteQueryOperator(                                                             |
|                 |           |                 |         |                                                                                                                        |     region='us-central1',                                                                      |
| bigquery_arg.py | Y         | Operator_Change | 193     | t6 = BigQueryOperator(                                                                                                 | t6 = BigQueryExecuteQueryOperator(                                                             |
| bigquery_arg.py | Y         | Argument_Change | 193     | t6 = BigQueryExecuteQueryOperator(                                                                                     | t6 = BigQueryExecuteQueryOperator(                                                             |
|                 |           |                 |         |                                                                                                                        |     region='us-central1',                                                                      |
| python_imp.py   | Y         | Import_Change   | 2       | from airflow.operators.python_operator import ShortCircuitOperator                                                     | from airflow.operators.python import ShortCircuitOperator                                      |
+-----------------+-----------+-----------------+---------+------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------+
